task_started,object_available,gripper_width_cm,distance_ee_object_cm,grasp_completed,finger_contacts,grasp_attempts,object_lift_height_cm,distance_object_goal_cm,task_aborted,action,anticipated_scenario,SAT
1,1,7,28,0,0,0,0,39,0,,,
1,1,7,25,0,0,0,0,39,0,,,
1,1,7,22,0,0,0,0,39,0,,,
1,1,7,19,0,0,0,0,39,0,,,
1,1,7,16,0,0,0,0,40,0,,,
1,1,7,13,0,0,0,0,40,0,,,
1,1,7,11,0,0,0,0,40,0,,,
1,1,7,9,0,0,0,0,40,0,,,
1,1,7,9,0,0,0,0,40,0,,,
1,1,7,8,0,0,0,0,40,0,,,
1,1,7,4,0,0,0,0,40,0,,,
1,1,7,1,0,0,0,0,40,0,,,
1,1,7,0,0,0,0,0,40,0,approach_object,APPROACH_OBJECT,True
1,1,4,0,1,1,1,0,39,0,,,
1,1,7,0,0,0,1,0,40,0,close_gripper,GRASP_OBJECT,False
1,1,7,0,0,0,1,0,40,0,,,
